Thread started: 0
f7f1504a (.text), f7efee30 (__get_cpu_features), 
f7f07fc1 (.text), f7efdcd0 (_dl_rtld_di_serinfo), 
f7f1600c (_dl_rtld_di_serinfo), f7f0a930 (_dl_catch_exception), 
f7f160f5 (.text), f7efe7b0 (_dl_catch_error), 
f7f0a6e9 (Unknown), ecc191f0 (_dl_rtld_di_serinfo), 
f7f0a6e9 (Unknown), ecc1f660 (_dl_rtld_di_serinfo), 
f7f0a6e9 (Unknown), ecc33200 (_dl_rtld_di_serinfo), 
f7f0a6e9 (Unknown), ecdcc6b0 (_dl_rtld_di_serinfo), 
f7f0a6e9 (Unknown), ecdc84c0 (_dl_rtld_di_serinfo), 
f7f0a6e9 (Unknown), ecdca770 (_dl_rtld_di_serinfo), 
f7f0a6e9 (Unknown), ecdce6d0 (_dl_rtld_di_serinfo), 
f7f0a6e9 (Unknown), ecdcab90 (_dl_rtld_di_serinfo), 
f7f0a6e9 (Unknown), ecdcdd80 (_dl_rtld_di_serinfo), 
f7f0a6e9 (Unknown), ecdcd970 (_dl_rtld_di_serinfo), 
f7f0a6e9 (Unknown), ecdd5590 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc18f60 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc19320 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc181c0 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc17c80 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc18270 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc18fb0 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc18f20 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc17d30 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc17cc0 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc182f0 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc47640 (_dl_rtld_di_serinfo), 
eccce006 (_dl_rtld_di_serinfo), f7f06eb0 (Unknown), 
f7f0941b (Unknown), ecc9f5f0 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc18ee0 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc182b0 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc47750 (_dl_rtld_di_serinfo), 
f7f0941b (Unknown), ecc9f6e0 (_dl_rtld_di_serinfo), 
f7f0c74b (_init), ecbb2d20 (_dl_rtld_di_serinfo), 
eccce006 (_dl_rtld_di_serinfo), f7f06eb0 (_Unwind_Find_FDE), 
f7f0c789 (.text), ecbb2720 (_dl_rtld_di_serinfo), 
f7f0c789 (.text), ecbb2780 (_dl_rtld_di_serinfo), 
f7f0c789 (.text), ecbb2820 (_dl_rtld_di_serinfo), 
f7f0c74b (_init), ecd9b418 (_dl_rtld_di_serinfo), 
f7f0c789 (.text), ecd9b680 (_dl_rtld_di_serinfo), 
ecbb2f2f (__libc_csu_init), 566bc600 (__libc_start_main), 
566bc644 (frame_dummy), 565f1ef0 (__libc_csu_init), 
ecbb2f9d (main), 565f1d10 (__libc_start_main), 
ecc154b8 (__libc_malloc), ecc14950 (__libc_calloc), 
ecccb6a5 (.text), f7efdcd0 (_dl_addr), 
ecccb81d (.text), f7efdce0 (_dl_addr), 
ecc124d5 (__default_morecore), ecc15f20 (_IO_str_seekoff), 
ecc88685 (__kernel_vsyscall), f7efc070 (brk), 
ecc12710 (__default_morecore), ecc15f20 (_IO_str_seekoff), 
ecc58c45 (__kernel_vsyscall), f7efc070 (getuid), 
ecc58c55 (__kernel_vsyscall), f7efc070 (geteuid), 
ecc58c65 (__kernel_vsyscall), f7efc070 (getgid), 
ecc58c75 (__kernel_vsyscall), f7efc070 (getegid), 
ecc14ff9 (__libc_realloc), ecc15170 (__libc_realloc), 
ecc7ea34 (__kernel_vsyscall), f7efc070 (__xstat), 
566287b6 (PerlIOBuf_open), 56627920 (PerlIO_openn), 
56627a11 (PerlIOUnix_open), 566280c0 (PerlIOBuf_open), 
56625300 (PerlIOUnix_pushed), 56628030 (PerlIO_push), 
56625300 (PerlIOBuf_pushed), 56627190 (PerlIO_push), 
