nohup: ignoring input
sync 10 blocks, loaded 0.0%, ftell 36243110, speed 4.0s/block
sync 20 blocks, loaded 0.0%, ftell 75470024, speed 5.0s/block
sync 30 blocks, loaded 0.0%, ftell 114327163, speed 5.0s/block
sync 40 blocks, loaded 0.0%, ftell 166057547, speed 5.0s/block
sync 50 blocks, loaded 0.0%, ftell 220524673, speed 6.0s/block
sync 60 blocks, loaded 0.0%, ftell 273884855, speed 6.0s/block
sync 70 blocks, loaded 0.0%, ftell 335152551, speed 6.0s/block
sync 80 blocks, loaded 1.0%, ftell 395773426, speed 6.0s/block
sync 90 blocks, loaded 1.0%, ftell 463371327, speed 7.0s/block
sync 100 blocks, loaded 1.0%, ftell 531121603, speed 7.0s/block
sync 110 blocks, loaded 1.0%, ftell 599512694, speed 7.0s/block
sync 120 blocks, loaded 1.0%, ftell 677060499, speed 7.0s/block
sync 130 blocks, loaded 2.0%, ftell 752764571, speed 7.0s/block
sync 140 blocks, loaded 2.0%, ftell 827820893, speed 7.0s/block
sync 150 blocks, loaded 2.0%, ftell 914126074, speed 8.0s/block
sync 160 blocks, loaded 2.0%, ftell 997193557, speed 8.0s/block
sync 170 blocks, loaded 2.0%, ftell 1080192238, speed 8.0s/block
sync 180 blocks, loaded 3.0%, ftell 1171103843, speed 8.0s/block
sync 190 blocks, loaded 3.0%, ftell 1261080538, speed 8.0s/block
sync 200 blocks, loaded 3.0%, ftell 1351580399, speed 8.0s/block
sync 210 blocks, loaded 4.0%, ftell 1447112202, speed 9.0s/block
sync 220 blocks, loaded 4.0%, ftell 1536598858, speed 9.0s/block
sync 230 blocks, loaded 4.0%, ftell 1626507888, speed 9.0s/block
sync 240 blocks, loaded 4.0%, ftell 1717027178, speed 9.0s/block
sync 250 blocks, loaded 5.0%, ftell 1811744874, speed 9.0s/block
sync 260 blocks, loaded 5.0%, ftell 1901865438, speed 9.0s/block
sync 270 blocks, loaded 5.0%, ftell 1992538712, speed 9.0s/block
sync 280 blocks, loaded 5.0%, ftell 2088189507, speed 9.0s/block
sync 290 blocks, loaded 6.0%, ftell 2178051219, speed 9.0s/block
sync 300 blocks, loaded 6.0%, ftell 2268039115, speed 9.0s/block
sync 310 blocks, loaded 6.0%, ftell 2358796954, speed 9.0s/block
sync 320 blocks, loaded 6.0%, ftell 2453703044, speed 9.0s/block
sync 330 blocks, loaded 7.0%, ftell 2543780796, speed 9.0s/block
sync 340 blocks, loaded 7.0%, ftell 2634897417, speed 10.0s/block
sync 350 blocks, loaded 7.0%, ftell 2730269127, speed 10.0s/block
sync 360 blocks, loaded 7.0%, ftell 2819794619, speed 10.0s/block
sync 370 blocks, loaded 8.0%, ftell 2910115670, speed 10.0s/block
sync 380 blocks, loaded 8.0%, ftell 3000644407, speed 10.0s/block
sync 390 blocks, loaded 8.0%, ftell 3095284711, speed 10.0s/block
sync 400 blocks, loaded 8.0%, ftell 3185535130, speed 10.0s/block
sync 410 blocks, loaded 9.0%, ftell 3276748493, speed 10.0s/block
sync 420 blocks, loaded 9.0%, ftell 3371598490, speed 10.0s/block
sync 430 blocks, loaded 9.0%, ftell 3461201144, speed 10.0s/block
sync 440 blocks, loaded 9.0%, ftell 3551927427, speed 10.0s/block
sync 450 blocks, loaded 10.0%, ftell 3642412546, speed 10.0s/block
sync 460 blocks, loaded 10.0%, ftell 3737081491, speed 10.0s/block
sync 470 blocks, loaded 10.0%, ftell 3827191796, speed 10.0s/block
sync 480 blocks, loaded 10.0%, ftell 3918244859, speed 10.0s/block
sync 490 blocks, loaded 11.0%, ftell 4013136753, speed 10.0s/block
sync 500 blocks, loaded 11.0%, ftell 4102544425, speed 10.0s/block
sync 510 blocks, loaded 11.0%, ftell 4193028642, speed 10.0s/block
sync 520 blocks, loaded 11.0%, ftell 4282754691, speed 10.0s/block
sync 530 blocks, loaded 12.0%, ftell 4377250030, speed 10.0s/block
sync 540 blocks, loaded 12.0%, ftell 4467586244, speed 10.0s/block
sync 550 blocks, loaded 12.0%, ftell 4558199411, speed 10.0s/block
sync 560 blocks, loaded 12.0%, ftell 4653436759, speed 10.0s/block
sync 570 blocks, loaded 13.0%, ftell 4743049346, speed 10.0s/block
sync 580 blocks, loaded 13.0%, ftell 4833478999, speed 10.0s/block
sync 590 blocks, loaded 13.0%, ftell 4923005678, speed 10.0s/block
sync 600 blocks, loaded 13.0%, ftell 5018946071, speed 10.0s/block
sync 610 blocks, loaded 14.0%, ftell 5109270298, speed 10.0s/block
sync 620 blocks, loaded 14.0%, ftell 5199533611, speed 10.0s/block
sync 630 blocks, loaded 14.0%, ftell 5295047018, speed 10.0s/block
sync 640 blocks, loaded 14.0%, ftell 5384827180, speed 10.0s/block
sync 650 blocks, loaded 15.0%, ftell 5475035124, speed 10.0s/block
sync 660 blocks, loaded 15.0%, ftell 5564862894, speed 10.0s/block
sync 670 blocks, loaded 15.0%, ftell 5660188043, speed 10.0s/block
sync 680 blocks, loaded 15.0%, ftell 5750081905, speed 10.0s/block
sync 690 blocks, loaded 16.0%, ftell 5840720277, speed 10.0s/block
sync 700 blocks, loaded 16.0%, ftell 5935842591, speed 10.0s/block
sync 710 blocks, loaded 16.0%, ftell 6025624431, speed 10.0s/block
sync 720 blocks, loaded 16.0%, ftell 6115861837, speed 11.0s/block
sync 730 blocks, loaded 17.0%, ftell 6205446597, speed 11.0s/block
sync 740 blocks, loaded 17.0%, ftell 6300909066, speed 11.0s/block
sync 750 blocks, loaded 17.0%, ftell 6390572558, speed 11.0s/block
sync 760 blocks, loaded 17.0%, ftell 6480812898, speed 11.0s/block
sync 770 blocks, loaded 18.0%, ftell 6575016095, speed 11.0s/block
sync 780 blocks, loaded 18.0%, ftell 6664037405, speed 11.0s/block
sync 790 blocks, loaded 18.0%, ftell 6754252649, speed 11.0s/block
sync 800 blocks, loaded 18.0%, ftell 6842812398, speed 11.0s/block
sync 810 blocks, loaded 19.0%, ftell 6937638517, speed 11.0s/block
sync 820 blocks, loaded 19.0%, ftell 7027556412, speed 11.0s/block
sync 830 blocks, loaded 19.0%, ftell 7116981790, speed 11.0s/block
sync 840 blocks, loaded 19.0%, ftell 7212296927, speed 11.0s/block
sync 850 blocks, loaded 20.0%, ftell 7301861203, speed 11.0s/block
sync 860 blocks, loaded 20.0%, ftell 7391785340, speed 11.0s/block
sync 870 blocks, loaded 20.0%, ftell 7480775433, speed 11.0s/block
sync 880 blocks, loaded 20.0%, ftell 7575640771, speed 11.0s/block
sync 890 blocks, loaded 21.0%, ftell 7665338082, speed 11.0s/block
sync 900 blocks, loaded 21.0%, ftell 7754834106, speed 11.0s/block
sync 910 blocks, loaded 21.0%, ftell 7849193639, speed 11.0s/block
sync 920 blocks, loaded 21.0%, ftell 7938645252, speed 11.0s/block
sync 930 blocks, loaded 22.0%, ftell 8028271498, speed 11.0s/block
sync 940 blocks, loaded 22.0%, ftell 8117114987, speed 11.0s/block
sync 950 blocks, loaded 22.0%, ftell 8212981343, speed 11.0s/block
sync 960 blocks, loaded 22.0%, ftell 8302831307, speed 11.0s/block
sync 970 blocks, loaded 23.0%, ftell 8392403867, speed 11.0s/block
sync 980 blocks, loaded 23.0%, ftell 8486532338, speed 11.0s/block
sync 990 blocks, loaded 23.0%, ftell 8576276559, speed 11.0s/block
sync 1000 blocks, loaded 23.0%, ftell 8666112063, speed 11.0s/block
sync 1010 blocks, loaded 24.0%, ftell 8755485905, speed 11.0s/block
sync 1020 blocks, loaded 24.0%, ftell 8850695172, speed 11.0s/block
sync 1030 blocks, loaded 24.0%, ftell 8940494864, speed 11.0s/block
sync 1040 blocks, loaded 24.0%, ftell 9030053706, speed 11.0s/block
sync 1050 blocks, loaded 25.0%, ftell 9124346139, speed 11.0s/block
sync 1060 blocks, loaded 25.0%, ftell 9214068835, speed 11.0s/block
sync 1070 blocks, loaded 25.0%, ftell 9303615514, speed 11.0s/block
sync 1080 blocks, loaded 25.0%, ftell 9392433546, speed 11.0s/block
sync 1090 blocks, loaded 26.0%, ftell 9487688653, speed 11.0s/block
sync 1100 blocks, loaded 26.0%, ftell 9577660942, speed 11.0s/block
sync 1110 blocks, loaded 26.0%, ftell 9667071767, speed 11.0s/block
sync 1120 blocks, loaded 27.0%, ftell 9761944610, speed 11.0s/block
sync 1130 blocks, loaded 27.0%, ftell 9851757230, speed 11.0s/block
sync 1140 blocks, loaded 27.0%, ftell 9941334273, speed 11.0s/block
sync 1150 blocks, loaded 27.0%, ftell 10030198475, speed 11.0s/block
sync 1160 blocks, loaded 28.0%, ftell 10126008346, speed 11.0s/block
sync 1170 blocks, loaded 28.0%, ftell 10216012806, speed 11.0s/block
sync 1180 blocks, loaded 28.0%, ftell 10305438472, speed 11.0s/block
sync 1190 blocks, loaded 28.0%, ftell 10400085565, speed 11.0s/block
sync 1200 blocks, loaded 29.0%, ftell 10489848964, speed 11.0s/block
sync 1210 blocks, loaded 29.0%, ftell 10579516549, speed 11.0s/block
sync 1220 blocks, loaded 29.0%, ftell 10668574919, speed 11.0s/block
sync 1230 blocks, loaded 29.0%, ftell 10764500178, speed 11.0s/block
sync 1240 blocks, loaded 30.0%, ftell 10854580055, speed 11.0s/block
